Date,Open,High,Low,Close,Adj Close,Volume
2019-04-09,125500.000000,128000.000000,125500.000000,127000.000000,118310.906250,317656
2019-04-10,126500.000000,128500.000000,126500.000000,127500.000000,118776.695313,349261
2019-04-11,127500.000000,128000.000000,125500.000000,128000.000000,119242.476563,551990
2019-04-12,127000.000000,128000.000000,125500.000000,126500.000000,117845.101563,286762
2019-04-15,126000.000000,127000.000000,125000.000000,125500.000000,116913.523438,222997
2019-04-16,126500.000000,130500.000000,125500.000000,128500.000000,119708.281250,753845
2019-04-17,128500.000000,131000.000000,127500.000000,131000.000000,122037.226563,535629
2019-04-18,133500.000000,137000.000000,132500.000000,134000.000000,124831.968750,1523085
2019-04-19,135000.000000,135500.000000,133000.000000,134000.000000,124831.968750,335516
2019-04-22,133000.000000,134500.000000,132000.000000,134000.000000,124831.968750,231200
2019-04-23,134000.000000,137000.000000,133000.000000,136000.000000,126695.140625,480332
2019-04-24,139000.000000,140000.000000,136000.000000,138500.000000,129024.093750,1394398
2019-04-25,138500.000000,139000.000000,136500.000000,138000.000000,128558.296875,598551
2019-04-26,138000.000000,138500.000000,134500.000000,135500.000000,126229.335938,657701
2019-04-29,136500.000000,139500.000000,136500.000000,139000.000000,129489.882813,758885
2019-04-30,139500.000000,140500.000000,138000.000000,138500.000000,129024.093750,623895
2019-05-02,138000.000000,140500.000000,137000.000000,138500.000000,129024.093750,430420
2019-05-03,137500.000000,138500.000000,136500.000000,137500.000000,128092.507813,430867
2019-05-07,134500.000000,137000.000000,134000.000000,136000.000000,126695.140625,545860
2019-05-08,134500.000000,136000.000000,134000.000000,135500.000000,126229.335938,424168
2019-05-09,135000.000000,135500.000000,131000.000000,131000.000000,122037.226563,810123
2019-05-10,131500.000000,134000.000000,128000.000000,130000.000000,121105.648438,544413
2019-05-13,128000.000000,131000.000000,128000.000000,129000.000000,120174.054688,384073
2019-05-14,128500.000000,129500.000000,127000.000000,128000.000000,119242.476563,442314
2019-05-15,127500.000000,130000.000000,125500.000000,128000.000000,119242.476563,494972
2019-05-16,133000.000000,135000.000000,127000.000000,127500.000000,118776.695313,1005933
2019-05-17,127000.000000,128500.000000,125000.000000,125500.000000,116913.523438,298037
2019-05-20,125500.000000,129500.000000,125500.000000,129000.000000,120174.054688,825485
2019-05-21,129000.000000,129500.000000,125000.000000,127000.000000,118310.906250,733503
2019-05-22,127000.000000,129000.000000,126000.000000,127000.000000,118310.906250,381004
2019-05-23,129000.000000,129500.000000,126500.000000,127500.000000,118776.695313,637184
2019-05-24,127000.000000,130500.000000,126000.000000,130500.000000,121571.429688,649719
2019-05-27,130000.000000,135500.000000,130000.000000,135000.000000,125763.554688,716578
2019-05-28,135000.000000,136500.000000,133000.000000,136500.000000,127160.929688,1209912
2019-05-29,135000.000000,135500.000000,131500.000000,134000.000000,124831.968750,637263
2019-05-30,132500.000000,136500.000000,132500.000000,135500.000000,126229.335938,495640
2019-05-31,134500.000000,135000.000000,131000.000000,134500.000000,125297.773438,925504
2019-06-03,134000.000000,138500.000000,132500.000000,138500.000000,129024.093750,651551
2019-06-04,137000.000000,140500.000000,137000.000000,139000.000000,129489.882813,585901
2019-06-05,139500.000000,142000.000000,139000.000000,141000.000000,131353.046875,608171
2019-06-07,141500.000000,142000.000000,139500.000000,140000.000000,130421.468750,492290
2019-06-10,142000.000000,143000.000000,140000.000000,143000.000000,133216.203125,468996
2019-06-11,142500.000000,143500.000000,140500.000000,143500.000000,133681.984375,362392
2019-06-12,143500.000000,143500.000000,139500.000000,141000.000000,131353.046875,535905
2019-06-13,140500.000000,141500.000000,137500.000000,141000.000000,131353.046875,946951
2019-06-14,140000.000000,142500.000000,139500.000000,140500.000000,130887.242188,339897
2019-06-17,140000.000000,141500.000000,139500.000000,140000.000000,130421.468750,228663
2019-06-18,140500.000000,141500.000000,139500.000000,141000.000000,131353.046875,222606
2019-06-19,140500.000000,141000.000000,139000.000000,140000.000000,130421.468750,303777
2019-06-20,139500.000000,141000.000000,139000.000000,140500.000000,130887.242188,259704
2019-06-21,140000.000000,141000.000000,139500.000000,140500.000000,130887.242188,291573
2019-06-24,142000.000000,143500.000000,141500.000000,142500.000000,132750.421875,287939
2019-06-25,142500.000000,142500.000000,140500.000000,141500.000000,131818.843750,294735
2019-06-26,141000.000000,142000.000000,140000.000000,141500.000000,131818.843750,239375
2019-06-27,141000.000000,142500.000000,139500.000000,140500.000000,131818.828125,343337
2019-06-28,140000.000000,141000.000000,139000.000000,140000.000000,131349.734375,274397
2019-07-01,141500.000000,142500.000000,139500.000000,141000.000000,132287.937500,328363
2019-07-02,139500.000000,140000.000000,136500.000000,137000.000000,128535.085938,444895
2019-07-03,136000.000000,138000.000000,134000.000000,136000.000000,127596.882813,582636
2019-07-04,135500.000000,139500.000000,135000.000000,139000.000000,130411.523438,305720
2019-07-05,139000.000000,142000.000000,138500.000000,141500.000000,132757.062500,338177
2019-07-08,140500.000000,142000.000000,138000.000000,138500.000000,129942.414063,339244
2019-07-09,139500.000000,141500.000000,137000.000000,137500.000000,129004.195313,435577
2019-07-10,139000.000000,140000.000000,135500.000000,137000.000000,128535.085938,567104
