Date,Open,High,Low,Close,Adj Close,Volume
2018-04-30,144200.000000,144200.000000,142400.000000,143200.000000,142131.578125,398655
2018-05-02,145200.000000,147800.000000,144800.000000,147600.000000,146498.765625,509325
2018-05-03,147800.000000,149000.000000,145200.000000,145400.000000,144315.187500,316640
2018-05-04,145000.000000,147000.000000,143400.000000,143400.000000,142330.093750,511785
2018-05-08,145400.000000,147600.000000,144200.000000,146200.000000,145109.218750,487275
2018-05-09,146000.000000,148000.000000,144600.000000,145400.000000,144315.187500,475655
2018-05-10,146000.000000,147000.000000,143600.000000,144000.000000,142925.609375,416805
2018-05-11,144200.000000,145800.000000,142800.000000,143400.000000,142330.093750,547725
2018-05-14,144000.000000,144400.000000,142800.000000,143400.000000,142330.093750,288745
2018-05-15,142800.000000,143600.000000,142200.000000,142200.000000,141139.046875,399725
2018-05-16,142400.000000,143000.000000,139600.000000,140000.000000,138955.468750,620065
2018-05-17,140000.000000,140600.000000,139400.000000,139400.000000,138359.921875,461815
2018-05-18,139400.000000,140000.000000,136800.000000,137600.000000,136573.359375,565205
2018-05-21,137200.000000,138000.000000,135200.000000,136400.000000,135382.312500,505590
2018-05-23,136000.000000,137600.000000,135400.000000,136800.000000,135779.328125,430280
2018-05-24,136400.000000,137000.000000,135600.000000,136000.000000,134985.296875,222435
2018-05-25,137000.000000,138800.000000,136400.000000,137000.000000,135977.843750,378775
2018-05-28,137000.000000,137400.000000,135800.000000,136000.000000,134985.296875,270430
2018-05-29,135800.000000,136000.000000,133400.000000,133600.000000,132603.203125,467685
2018-05-30,133400.000000,134000.000000,129600.000000,130400.000000,129427.085938,669825
2018-05-31,132000.000000,134200.000000,130800.000000,133800.000000,132801.718750,1050965
2018-06-01,134800.000000,137200.000000,134400.000000,136000.000000,134985.296875,457305
2018-06-04,136200.000000,137400.000000,134200.000000,134600.000000,133595.734375,409355
2018-06-05,135600.000000,136000.000000,132800.000000,134800.000000,133794.250000,335760
2018-06-07,135000.000000,136400.000000,134800.000000,136000.000000,134985.296875,390905
2018-06-08,136000.000000,141600.000000,136000.000000,140200.000000,139153.953125,941455
2018-06-11,140200.000000,142400.000000,139000.000000,142200.000000,141139.046875,689250
2018-06-12,142400.000000,143800.000000,140800.000000,143400.000000,142330.093750,621335
2018-06-14,143800.000000,145000.000000,141000.000000,141400.000000,140345.015625,794555
2018-06-15,141000.000000,141200.000000,137400.000000,138000.000000,136970.375000,701510
2018-06-18,138000.000000,139000.000000,137200.000000,138800.000000,137764.406250,529295
2018-06-19,138000.000000,138800.000000,137600.000000,137600.000000,136573.359375,551610
2018-06-20,137800.000000,138400.000000,137400.000000,137800.000000,136771.875000,532395
2018-06-21,137000.000000,140600.000000,136800.000000,139800.000000,138756.953125,589410
2018-06-22,138000.000000,144800.000000,138000.000000,144600.000000,143521.140625,801570
2018-06-25,145600.000000,150000.000000,145400.000000,149600.000000,148483.843750,1276330
2018-06-26,148400.000000,149200.000000,146000.000000,147000.000000,145903.250000,537640
2018-06-27,149400.000000,149600.000000,147800.000000,147800.000000,146697.265625,436380
2018-06-28,147600.000000,150200.000000,145200.000000,149400.000000,148285.328125,682685
2018-06-29,150000.000000,152800.000000,149600.000000,152600.000000,151461.437500,779575
2018-07-02,153000.000000,153000.000000,149000.000000,150200.000000,149079.359375,539590
2018-07-03,151800.000000,152600.000000,148600.000000,149400.000000,148285.328125,431525
2018-07-04,153800.000000,155800.000000,152000.000000,153600.000000,152453.984375,899695
2018-07-05,151200.000000,153800.000000,151200.000000,153000.000000,151858.468750,286595
2018-07-06,151000.000000,151600.000000,149200.000000,149800.000000,148682.343750,409335
2018-07-09,149800.000000,155800.000000,149600.000000,151000.000000,149873.390625,471880
2018-07-10,151400.000000,153600.000000,151200.000000,152000.000000,150865.921875,375645
2018-07-11,152600.000000,154200.000000,151400.000000,153800.000000,152652.500000,434425
2018-07-12,155000.000000,156400.000000,152800.000000,156400.000000,155233.093750,479835
2018-07-13,156000.000000,156400.000000,153000.000000,154200.000000,153049.515625,379850
2018-07-16,154200.000000,154600.000000,153400.000000,154200.000000,153049.515625,288625
2018-07-17,153800.000000,153800.000000,151000.000000,151800.000000,150667.421875,264885
2018-07-18,152400.000000,154200.000000,151800.000000,152800.000000,151659.953125,158810
2018-07-19,154400.000000,156000.000000,152600.000000,153000.000000,151858.468750,252110
2018-07-20,153000.000000,154400.000000,151000.000000,154000.000000,152850.984375,252245
2018-07-23,154200.000000,155400.000000,153000.000000,154800.000000,153645.031250,407150
2018-07-24,155000.000000,155200.000000,148400.000000,149000.000000,147888.312500,422515
2018-07-25,151800.000000,151800.000000,148400.000000,149200.000000,148086.828125,472905
2018-07-26,150400.000000,152200.000000,143200.000000,150200.000000,149079.359375,1121260
2018-07-27,147000.000000,150200.000000,146600.000000,150200.000000,149079.359375,569095
2018-07-30,149400.000000,149600.000000,145200.000000,146000.000000,144910.703125,543330
2018-07-31,145200.000000,145600.000000,142400.000000,143200.000000,142131.578125,618420
2018-08-01,143600.000000,145600.000000,143000.000000,145600.000000,144513.687500,514795
2018-08-02,145600.000000,147600.000000,144200.000000,145600.000000,144513.687500,404885
2018-08-03,144600.000000,146200.000000,144200.000000,146200.000000,145109.218750,534385
2018-08-06,146600.000000,149600.000000,146200.000000,147000.000000,145903.250000,303035
2018-08-07,148400.000000,150800.000000,147200.000000,148800.000000,147689.812500,324185
2018-08-08,148400.000000,151200.000000,148400.000000,150000.000000,148880.859375,312410
2018-08-09,150600.000000,155800.000000,149000.000000,155800.000000,154637.578125,665170
2018-08-10,155400.000000,156400.000000,154000.000000,154200.000000,153049.515625,345420
2018-08-13,153400.000000,153400.000000,150000.000000,151000.000000,149873.390625,418340
2018-08-14,152000.000000,153400.000000,150800.000000,151400.000000,150270.390625,308015
2018-08-16,150000.000000,152600.000000,149000.000000,150000.000000,148880.859375,570495
2018-08-17,150800.000000,153600.000000,149600.000000,151000.000000,149873.390625,193900
2018-08-20,152800.000000,153200.000000,150600.000000,151000.000000,149873.390625,194680
2018-08-21,150800.000000,152200.000000,149400.000000,149400.000000,148285.328125,241605
2018-08-22,149400.000000,149600.000000,148200.000000,149400.000000,148285.328125,239675
2018-08-23,151000.000000,154600.000000,150400.000000,154400.000000,153248.015625,495420
2018-08-24,154200.000000,155800.000000,151000.000000,151600.000000,150468.906250,271300
2018-08-27,152600.000000,155000.000000,152000.000000,153800.000000,152652.500000,223740
2018-08-28,154400.000000,154400.000000,150600.000000,151200.000000,150071.890625,233335
2018-08-29,151200.000000,152000.000000,149600.000000,149600.000000,148483.843750,274750
2018-08-30,149600.000000,151400.000000,149000.000000,149200.000000,148086.828125,238975
2018-08-31,149400.000000,151200.000000,149200.000000,150400.000000,149277.890625,289765
2018-09-03,150600.000000,151000.000000,149400.000000,150800.000000,149674.890625,156035
2018-09-04,151400.000000,151400.000000,149800.000000,151000.000000,149873.390625,187280
2018-09-05,150600.000000,150600.000000,145400.000000,147200.000000,146101.734375,591425
2018-09-06,147200.000000,148000.000000,145400.000000,146000.000000,144910.703125,352455
2018-09-07,146400.000000,147000.000000,144400.000000,146400.000000,145307.703125,322865
2018-09-10,144000.000000,146400.000000,144000.000000,145000.000000,143918.156250,359830
2018-09-11,144600.000000,146200.000000,144400.000000,145200.000000,144116.656250,292970
2018-09-12,146000.000000,146800.000000,145200.000000,146000.000000,144910.703125,291080
2018-09-13,147000.000000,147000.000000,144600.000000,144600.000000,143521.140625,514055
2018-09-14,145200.000000,146600.000000,144800.000000,146000.000000,144910.703125,365840
2018-09-17,145000.000000,146200.000000,144600.000000,145600.000000,144513.687500,269755
2018-09-18,144000.000000,145800.000000,144000.000000,145000.000000,143918.156250,277260
2018-09-19,145200.000000,146800.000000,145000.000000,146200.000000,145109.218750,276430
2018-09-20,144400.000000,146800.000000,144400.000000,146200.000000,145109.218750,287195
2018-09-21,148200.000000,148600.000000,144600.000000,145000.000000,143918.156250,375655
2018-09-27,143000.000000,146000.000000,142400.000000,142600.000000,141536.062500,390075
2018-09-28,143400.000000,143800.000000,142600.000000,143200.000000,142131.578125,487325
2018-10-01,143600.000000,144400.000000,142200.000000,142600.000000,141536.062500,211085
2018-10-02,143000.000000,143000.000000,137200.000000,137800.000000,136771.875000,744920
